Source ID,Source Name,Target ID,Target Name,Chunk,Label,Rationale
746251,Gilday v. Mecosta County,1621847,Coghlan v. HJ Heinz Co.,"The EEOC’s interpretive guidelines, however, state that “[t]he determination of whether an individual is substantially limited in a major life activity must be made on a case by case basis, without regard to mitigating measures such as medicines, or assistive or prosthetic devices.” 29 C.F.R. § 1630 App. 1630.2(j). See also id. § 1630.2(h). The first question that we must address, then, is whether, in determining whether a person is disabled under the ADA, a court should look at the situation when the impairment is controlled by medication or treatment or, as the EEOC suggests, the court should evaluate the impairment without regard to the availability of such mitigating measures. The courts are divided on the question. Compare Doom v. City of Omaha, 115 F.3d 624, 627 (8th Cir.1997); Harris v. H & W Contracting Co., 102 F.3d 516, 520-21 (11th Cir.1996); Fallacaro v. Richardson, 965 F.Supp. 87, 93-94 (D.D.C.1997); Wilson v. Pennsylvania State Police Dep’t, 964 F.Supp. 898, 907 (E.D.Pa.1997); Hendler v. Intelecom USA Inc., 963 F.Supp. 200, 206 (E.D.N.Y.1997); Shiflett v. GE Fanuc Automation Corp., 960 F.Supp. 1022, 1029 (W.D.Va.1997); Sicard v. City of Sioux City, *763950 F.Supp. 1420, 1438-39 (N.D.Iowa 1996) (all explicitly adopting EEOC interpretation over direct challenges), and Holihan v. Lucky Stores, Inc., 87 F.3d 362, 366 (9th Cir.1996), cert. denied, — U.S. -, 117 S.Ct. 1349, 137 L.Ed.2d 506 (1997); Roth v. Lutheran Gen. Hosp., 57 F.3d 1446,1454 (7th Cir.1995); Thomas v. Davidson Academy, 846 F.Supp. 611, 617 (M.D.Tenn.1994) (ah using EEOC interpretation without substantial analysis), with Ellison v. Software Spectrum, Inc., 85 F.3d 187, 191 & n. 3 (5th Cir.1996) (dicta suggesting disagreement with EEOC view); Schluter v. Industrial Coils, Inc., 928 F.Supp. 1437,1445 (W.D.Wis. 1996) (“If an insulin-dependent diabetic can control her condition with the use of insulin ... she cannot argue that her life is substantially limited by her condition.”); Murphy v. United Parcel Serv., Inc., 946 F.Supp. 872, 881 (D.Kan.1996) (rejecting EEOC view as contrary to statute1); Coghlan v. H.J. Heinz Co., 851 F.Supp. 808, 813-14 (N.D.Tex.1994) (same). As the majority of these courts have held, the EEOC’s interpretation of the statute is the correct one.
...
[Second instance] First, the EEOC’s interpretation is consistent with the text of the statute. See, e.g., Harris, 102 F.3d at 521. But see Coghlan, 851 F.Supp. at 813 (claiming that the EEOC’s “gloss reads ‘limits’ right out of the statute because an insulin-dependent diabetic who takes insulin could perform major life activities and would therefore not be limited”). 
",Negative,The writing court recognizes that the court in Coghlan reached a different conclusion.
746251,Gilday v. Mecosta County,1621847,Coghlan v. HJ Heinz Co.,"
[Third instance] The EEOC’s position on mitigating measures appears not in the regulations themselves, but in an appendix to the regulations labeled “Interpretive Guidance on Title I of the Americans with Disabilities Act.” 29 C.F.R. § 1630 App., Introduction. The appendix constitutes a set of interpretative, rather than legislative, rules and is, therefore, not binding law. See Coghlan v. H.J. Heinz Co., 851 F.Supp. 808, 811-12 (N.D.Tex.1994). ",Neutral,"This appears in a partial dissent. Neither endorsing nor criticizing Coghlan, which has already been cited by the majority opinion writers."
2424551,Kiphart v. Saturn Corp.,722567,Monette v. Electronic Data Systems Corporation,"When, as here, a plaintiff presents direct evidence his employer relied on his disability in making an employment decision, he bears the burden of establishing (1) he is “disabled” and (2) he is “otherwise qualified” for the position despite his disability, either with or without reasonable accommodation or with an allegedly “essential” job requirement eliminated. Monette v. Electronic Data Sys. Corp., 90 F.3d 1173, 1186 (6th Cir.1996). His employer then bears the burden of proving that a challenged job criterion is essential, and therefore a business necessity, or that the proposed accommodation would impose an undue hardship. Id. 
...
The district court found Saturn had reasonably accommodated Kiphart through his participation in the Member Placement Program. Indeed, Saturn admirably found temporary jobs for Kiphart for most of the 1300 days following his removal from his original team. 13 In previous cases cited by the district court, we have held employers have reasonably accommodated employees through far shorter job searches of only thirty-seven and forty days. See Monette, 90 F.3d at 1173; Smith v. Ameritech, 129 F.3d 857, 866 (6th Cir.1997). However, the issue before the Court today is not susceptible to mathematical solution. Rather, we must decide only whether Kiphart presented sufficient evidence to support the jury’s conclusion *587 Saturn failed to reasonably accommodate Kiphart. We believe he did.",Neutral,"The first citation simply supports the statement of law and the second one is illustrative, without the court clearly saying it was right or wrong (""not susceptible to mathematical solution"")"
174213,Kirkeberg v. Canadian Pacific Railway,791297,EEOC v. Sears,"Kirkeberg also claims that Canadian Pacific failed to make ""reasonable accommodations to [his] known physical ... limitations.” 42 U.S.C. § 12112(b)(5)(A). The ADA, however, requires an employee to show that he is ""a qualified individual with a disability” in order to state a valid claim for failure to accommodate, id.; EEOC v. Sears, Roebuck & Co., 417 F.3d 789, 797 (7th Cir.2005), so this claim fails as well.",Neutral,This is just cited to support a statement of the statutory law. It doesn't appear to endorse or criticize EEOC v. Sears.
174213,Kirkeberg v. Canadian Pacific Railway,797279,Gretillat v. Care Initiatives,"This final statement suggests that Kirkeberg’s right eye would acclimate to his vision loss, potentially rendering his “significant” discomfort temporary. To be substantially limiting, an impairment “must be of an extended or permanent duration,” Gretillat v. Care Initiatives, 481 F.3d 649, 652 (8th Cir. 2007), but Kirkeberg offered no medical evidence developed after February 2006 to address the degree to which his body acclimated and whether his difficulties were permanent. Nor did he present specific medical evidence concerning his “loss of depth perception and visual field.” Albertson’s, Inc., 527 U.S. at 567, 119 S.Ct. 2162.",Positive,"This cites a previous opinion from the same court (Eighth Circuit), which similarly considered the issue of duration as it relates to whether it is substantially limiting."
801002,"Lewis v. Humboldt Acquisition Corp., Inc.",777346,"Cotter v. Ajilon Services, Inc.","Consistent with Maddox, we used the “solely” standard in an ADA-only claim a year later, Monette v. Electronic Systems Corporation, 90 F.3d 1173, 1177-78 (6th Cir.1996), and before long that became the standard for relief under the ADA in this circuit, see, e.g., Macy v. Hopkins County Sch. Bd. of Educ., 484 F.3d 357, 363-64 *315(6th Cir.2007); Cotter v. Ajilon Servs., Inc., 287 F.3d 593, 598 (6th Cir.2002). 

The longer we have stood by this standard, the more out of touch it has become with the standards used by our sister circuits. At this point, no other circuit imports the “solely” test into the ADA. . . . .

Our interpretation of the ADA not only is out of sync with the other circuits, but it also is wrong.",Negative,"The Sixth Circuit here clearly states that its prior standard ""is wrong."""
801002,"Lewis v. Humboldt Acquisition Corp., Inc.",797536,Macy v. Hopkins County School Board of Education,"Consistent with Maddox, we used the “solely” standard in an ADA-only claim a year later, Monette v. Electronic Systems Corporation, 90 F.3d 1173, 1177-78 (6th Cir.1996), and before long that became the standard for relief under the ADA in this circuit, see, e.g., Macy v. Hopkins County Sch. Bd. of Educ., 484 F.3d 357, 363-64 *315(6th Cir.2007); Cotter v. Ajilon Servs., Inc., 287 F.3d 593, 598 (6th Cir.2002). 

The longer we have stood by this standard, the more out of touch it has become with the standards used by our sister circuits. At this point, no other circuit imports the “solely” test into the ADA. . . . .

Our interpretation of the ADA not only is out of sync with the other circuits, but it also is wrong.",Negative,"The Sixth Circuit here clearly states that its prior standard ""is wrong."""
2477147,Mogenhan v. Chertoff,770924,Webb v. Choate,"In other words, ""the ADA requires a plaintiff ... to produce some evidence of the number and types of jobs in the local employment market in order to show he is disqualified from a substantial class or broad range of such jobs; that is, the total number of such jobs that remain available to the plaintiff in such a class or range in the relevant market must be sufficiently low that he is effectively precluded from working in the class or range.” Id. at 1115, 1116. citing Webb v. Clyde L. Choate Mental Health & Dev. Ctr., 230 F.3d 991, 997 (7th Cir.2000) (finding that summary judgment was appropriate against psychologist suffering from severe asthma, osteoporosis, and a weakened immune system because he “ha[d] not presented evidence that his condition prevents him from performing a class of jobs”).",Positive,"In this instance, the court applies the standard noted in Webb."
2573665,"Ragan v. JEFFBOAT, LLC",771887,Amadio v. Ford Motor Company,"It is true, however, that an employer may regard an employee as “impaired” or “restricted” without necessarily regarding him as “disabled.” Amadio v. Ford Motor Co., 238 F.3d 919, 925 (7th Cir.2001); Krocka v. City of Chicago, 203 F.3d 507, 512-513 (7th Cir.2000); Harrington v. Rice Lake Weighing Systems, Inc., 122 F.3d 456, 460-61 (7th Cir.1997).",Positive,"Here, the court explicitly agrees (by using the introductory phrase ""It is true, however, that…) with the conclusion that an employer may regard an employee as impaired or restricted, without believing they are disabled."
808793,Sanchez v. Vilsack,155597,"Sutton v. United Air Lines, Inc.","In Sutton v. United Air Lines, Inc., the Supreme Court affirmed this circuit's practice of considering potential mitigating measures, such as medications, in evaluating whether an impairment substantially limits a major life activity. 527 U.S. 471, 488, 119 S.Ct. 2139, 144 L.Ed.2d 450 (1999). Congress amended the ADA in 2008 ""to correct what it viewed as an overly restrictive interpretation of the statute’s terms” in Sutton. Carter, 662 F.3d at 1144 (quotation and citations omitted); see .ADA Amendments Act of 2008, Pub.L. No. 110-325, 122 Stat. 3553. Because the ADA Amendments Act does not operate retroactively, however, ""we apply the law as it stood prior to the enactment.” Carter, 662 F.3d at 1144. .",Negative,"Here, the court recognizes that Sutton is no longer good law, (although it applies in this circumstance because of the date of the events.)"
1657692,"Settle v. SW Rodgers, Co., Inc.",7213,Dutcher v. Ingalls Shipbuilding,,Neutral,
1519464,"Torres-Alman v. Verizon Wireless Puerto Rico, Inc.",2309309,Bankston v. Chertoff,,Positive,
10842070,Way v. City of Missouri City,8277,Daigle v. Liberty Life Insurance,,Positive,
2385735,Williamson v. American National Insurance Company,6453,Grant v. Lone Star Co.,,Positive,
5288715,Perez-Sosa v. Garland,2678333,Barrett v. Salt Lake County,"The district court's view is not without some support in the case law. In Barrett v. Salt Lake County , the Tenth Circuit held that a prevailing Title VII plaintiff may not recover attorneys' fees for time spent in navigating the employer's optional grievance process even if such work was “useful and of a type ordinarily necessary to secure the final result obtained from the litigation.” 754 F.3d 864, 870 (10th Cir. 2014) (internal quotations omitted) (quoting Pennsylvania v. Del. Valley Citizens' Council for Clean Air (Delaware Valley ), 478 U.S. 546, 561, 106 S.Ct. 3088, 92 L.Ed.2d 439 (1986)). There, the court decided that the useful-and-necessary standard does not apply to actions under Title VII. See id. at 870-71; cf. Binta B. ex rel. S.A. v. Gordon, 710 F.3d 608, 631 (6th Cir. 2013) (“[W]e are troubled by the idea of ever permitting plaintiffs' counsel to receive fees for work performed in a completely separate case.”).

We do not agree. To determine “the number of hours reasonably expended on the litigation,” Hensley, 461 U.S. at 433, 103 S.Ct. 1933, an inquiring court must look not to labels but, rather, to the nature of the work and its utility to the case at hand, see Delaware Valley, 478 U.S. at 561, 106 S.Ct. 3088. That “look” is not constrained by the four corners of the particular case. See Nat'l Ass'n of Concerned Veterans v. Sec'y of Def., 675 F.2d 1319, 1335 (D.C. Cir. 1982). Instead, a court should award fees for all hours logged in connection with work that is “‘useful and of a type ordinarily necessary’ to secure the final result obtained from the litigation.” Delaware Valley, 478 U.S. at 561, 106 S.Ct. 3088 (quoting Webb v. Bd. of Educ., 471 U.S. 234, 243, 105 S.Ct. 1923, 85 L.Ed.2d 233 (1985)); see Hutchinson ex rel. Julien v. Patrick, 636 F.3d 1, 15 (1st Cir. 2011). This standard controls even when that work implicates some other case. See Schneider v. Colegio de Abogados de P.R., 187 F.3d 30, 32-33 (1st Cir. 1999) (per curiam) (applying the “useful and of a type ordinarily necessary” standard to “work done in the [Puerto Rico] courts before the filing of the federal lawsuit”).",Negative,"Here, First Circuit explicitly disagrees with the Tenth Circuit on the idea that ""useful-and-necessary standard"" is inapplicable and that labels, rather than the nature of the work and its utility, are most important."
808793,Sanchez v. Vilsack,155762,Woodman v. Runyon,"Part of the government’s obligation is to provide reasonable accommodations to disabled employees. To prevail on a failure-to-accommodate claim a plaintiff must demonstrate that: (1) she is disabled; (2) she is “otherwise qualified”; and (3) she requested a plausibly reasonable accommodation. See Woodman v. Runyon, 132 F.3d 1330, 1344 (10th Cir.1997).",Neutral,This is just a recitation of the analysis applied to failure-to-accommodate claims.
808793,Sanchez v. Vilsack,164297,McGeshick v. Principi,"The Rehabilitation Act prohibits the federal government from discriminating against an “otherwise qualified individual with a disability.” 29 U.S.C. § 794(a); McGeshick v. Principi, 357 F.3d 1146, 1149 (10th Cir.2004).",Neutral,Simply a citation to support a statement of statutory law.
762510,Scot L. Zimmerman v. State of Oregon Department of Justice,750163,"Bledsoe v. Palm Beach County Soil and Water Conservation District, Board of County Commissioners for Palm Beach County","We are mindful that most courts have held that Title II applies to employment. Ordinarily, we would find it difficult to hold that the wording of a statute unambiguously indicates a contrary congressional intent in the face of such precedent. However, those courts generally have ignored the wording of Title II altogether,[fn11] including the definition of ""qualified individual with a disability"" from that Title and the surrounding words in 42 U.S.C. § 12132. Instead, they have: (1) assumed without analysis that Title II applies to employment,[fn12] (2) relied only on the Attorney General's regulation and the legislative history of the ADA, without discussion of the statutory text and context,[fn13] (3) relied on the Rehabilitation Act without analyzing whether Congress intended to incorporate its prohibition against employment discrimination
into Title II,[fn14] or (4) relied solely on the foregoing precedent without independent consideration of the problem.[fn15] Because of the limited analysis performed in those cases —
in particular, their failure to consider the statutory text and context carefully — we simply do not find them persuasive.",Negative,"Here, the court states that it does not find the case (cited in the footnote) persuasive."
762510,Scot L. Zimmerman v. State of Oregon Department of Justice,692288,Doe v. University of Maryland Medical System Corporation,"We are mindful that most courts have held that Title II applies to employment. Ordinarily, we would find it difficult to hold that the wording of a statute unambiguously indicates a contrary congressional intent in the face of such precedent. However, those courts generally have ignored the wording of Title II altogether,[fn11] including the definition of ""qualified individual with a disability"" from that Title and the surrounding words in 42 U.S.C. § 12132. Instead, they have: (1) assumed without analysis that Title II applies to employment,[fn12] (2) relied only on the Attorney General's regulation and the legislative history of the ADA, without discussion of the statutory text and context,[fn13] (3) relied on the Rehabilitation Act without analyzing whether Congress intended to incorporate its prohibition against employment discrimination
into Title II,[fn14] or (4) relied solely on the foregoing precedent without independent consideration of the problem.[fn15] Because of the limited analysis performed in those cases —
in particular, their failure to consider the statutory text and context carefully — we simply do not find them persuasive.",Negative,"Here, the court states that it does not find the case (cited in the footnote) persuasive."
762510,Scot L. Zimmerman v. State of Oregon Department of Justice,2338276,Alberti v. City & County of San Francisco Sheriff's Department,"We are mindful that most courts have held that Title II applies to employment. Ordinarily, we would find it difficult to hold that the wording of a statute unambiguously indicates a contrary congressional intent in the face of such precedent. However, those courts generally have ignored the wording of Title II altogether,[fn11] including the definition of ""qualified individual with a disability"" from that Title and the surrounding words in 42 U.S.C. § 12132. Instead, they have: (1) assumed without analysis that Title II applies to employment,[fn12] (2) relied only on the Attorney General's regulation and the legislative history of the ADA, without discussion of the statutory text and context,[fn13] (3) relied on the Rehabilitation Act without analyzing whether Congress intended to incorporate its prohibition against employment discrimination
into Title II,[fn14] or (4) relied solely on the foregoing precedent without independent consideration of the problem.[fn15] Because of the limited analysis performed in those cases —
in particular, their failure to consider the statutory text and context carefully — we simply do not find them persuasive.",Negative,"Here, the court states that it does not find the case (cited in the footnote) persuasive."
762510,Scot L. Zimmerman v. State of Oregon Department of Justice,2311704,Downs v. Massachusetts Bay Transportation Authority,"We are mindful that most courts have held that Title II applies to employment. Ordinarily, we would find it difficult to hold that the wording of a statute unambiguously indicates a contrary congressional intent in the face of such precedent. However, those courts generally have ignored the wording of Title II altogether,[fn11] including the definition of ""qualified individual with a disability"" from that Title and the surrounding words in 42 U.S.C. § 12132. Instead, they have: (1) assumed without analysis that Title II applies to employment,[fn12] (2) relied only on the Attorney General's regulation and the legislative history of the ADA, without discussion of the statutory text and context,[fn13] (3) relied on the Rehabilitation Act without analyzing whether Congress intended to incorporate its prohibition against employment discrimination
into Title II,[fn14] or (4) relied solely on the foregoing precedent without independent consideration of the problem.[fn15] Because of the limited analysis performed in those cases —
in particular, their failure to consider the statutory text and context carefully — we simply do not find them persuasive.",Negative,"Here, the court states that it does not find the case (cited in the footnote) persuasive."
